model,bin_id,delta_sv,n_years,hos_year,fuel,component,dln,branch
IPSL-CM6A-LR,-0.5,-0.7418,1,10,Natural gas,hdd_octmar,-0.022425825193159,energy Natural gas
IPSL-CM6A-LR,-2.5,-2.713,1,11,Natural gas,hdd_octmar,0.024488617133776,energy Natural gas
IPSL-CM6A-LR,-1.5,-1.3383,1,12,Natural gas,hdd_octmar,0.0432428586759822,energy Natural gas
IPSL-CM6A-LR,-0.5,-0.4327,1,13,Natural gas,hdd_octmar,0.0373248677135926,energy Natural gas
IPSL-CM6A-LR,-0.5,-0.4569,1,14,Natural gas,hdd_octmar,0.0341614984588615,energy Natural gas
IPSL-CM6A-LR,-1.5,-1.3271,1,15,Natural gas,hdd_octmar,0.0568147636060889,energy Natural gas
IPSL-CM6A-LR,-1.5,-1.1959,1,16,Natural gas,hdd_octmar,0.0447118335364279,energy Natural gas
IPSL-CM6A-LR,-2.5,-2.5833,1,17,Natural gas,hdd_octmar,0.0154282747426321,energy Natural gas
IPSL-CM6A-LR,-2.5,-2.8658,1,18,Natural gas,hdd_octmar,0.0261274924577553,energy Natural gas
IPSL-CM6A-LR,-1.5,-1.0916,1,19,Natural gas,hdd_octmar,0.0292922117771431,energy Natural gas
IPSL-CM6A-LR,-3.5,-3.2099,1,20,Natural gas,hdd_octmar,0.0232734245920473,energy Natural gas
IPSL-CM6A-LR,-2.5,-2.3795,1,21,Natural gas,hdd_octmar,0.0373502347879061,energy Natural gas
IPSL-CM6A-LR,-3.5,-3.4662,1,22,Natural gas,hdd_octmar,0.0658537431146219,energy Natural gas
IPSL-CM6A-LR,-2.5,-2.7286,1,23,Natural gas,hdd_octmar,-0.00640624443443317,energy Natural gas
IPSL-CM6A-LR,-4.5,-4.0303,1,24,Natural gas,hdd_octmar,0.023902748715055,energy Natural gas
IPSL-CM6A-LR,-2.5,-2.8085,1,25,Natural gas,hdd_octmar,0.0319166095278951,energy Natural gas
IPSL-CM6A-LR,-2.5,-2.5323,1,26,Natural gas,hdd_octmar,0.0107883345125415,energy Natural gas
