model,bin_id,delta_sv,n_years,cntr,crop,component,dln
IPSL-CM6A-LR,-5.5,-5.3985,4,DK,Winter barley,gdd_mj,-0.356277562451368
IPSL-CM6A-LR,-4.5,-4.3046,12,DK,Winter barley,gdd_mj,-0.270601539223645
IPSL-CM6A-LR,-3.5,-3.5013,7,DK,Winter barley,gdd_mj,-0.328186629816479
IPSL-CM6A-LR,-2.5,-2.2964,6,DK,Winter barley,gdd_mj,-0.218430931714454
EC-Earth3,-4.5,-4.5546,8,EE,Winter barley,gdd_mj,-0.338754931746348
EC-Earth3,-3.5,-3.4737,8,EE,Winter barley,gdd_mj,-0.427196715141834
EC-Earth3,-2.5,-2.5448,11,EE,Winter barley,gdd_mj,-0.264100365821907
IPSL-CM6A-LR,-5.5,-5.3985,4,EE,Winter barley,gdd_mj,-0.44462309320484
IPSL-CM6A-LR,-4.5,-4.3046,12,EE,Winter barley,gdd_mj,-0.369774204830839
IPSL-CM6A-LR,-3.5,-3.5013,7,EE,Winter barley,gdd_mj,-0.376456249244912
IPSL-CM6A-LR,-2.5,-2.2964,6,EE,Winter barley,gdd_mj,-0.262602674755666
EC-Earth3,-4.5,-4.5546,8,EL,Winter barley,gdd_mj,-0.46218386173084
EC-Earth3,-3.5,-3.4737,8,EL,Winter barley,gdd_mj,-0.467398328859869
EC-Earth3,-2.5,-2.5448,11,EL,Winter barley,gdd_mj,-0.400533300836362
IPSL-CM6A-LR,-5.5,-5.3985,4,EL,Winter barley,gdd_mj,-0.388397394112487
IPSL-CM6A-LR,-4.5,-4.3046,12,EL,Winter barley,gdd_mj,-0.359211262391487
IPSL-CM6A-LR,-3.5,-3.5013,7,EL,Winter barley,gdd_mj,-0.299076706697321
IPSL-CM6A-LR,-2.5,-2.2964,6,EL,Winter barley,gdd_mj,-0.298859405641962
EC-Earth3,-4.5,-4.5546,8,ES,Winter barley,gdd_mj,-0.502003910503342
EC-Earth3,-3.5,-3.4737,8,ES,Winter barley,gdd_mj,-0.485891797922114
EC-Earth3,-2.5,-2.5448,11,ES,Winter barley,gdd_mj,-0.458431380630189
IPSL-CM6A-LR,-5.5,-5.3985,4,ES,Winter barley,gdd_mj,-0.386194060937291
IPSL-CM6A-LR,-4.5,-4.3046,12,ES,Winter barley,gdd_mj,-0.368049968073088
IPSL-CM6A-LR,-3.5,-3.5013,7,ES,Winter barley,gdd_mj,-0.315375091255407
