model,exp,cntr,year,hdd_calendar,hdd_octmar,cdd_jja
EC-Earth3,g01,ES,2024,1335.69,1077.85,383.26
EC-Earth3,g01,FI,1990,4629.48,3472.48,7.83
EC-Earth3,g01,FI,1991,4814.3,3658.34,17.41
EC-Earth3,g01,FI,1992,4786.24,3246.43,19.45
EC-Earth3,g01,FI,1993,5063.23,3594.6,2.41
EC-Earth3,g01,FI,1994,5166.21,4094.54,42.76
EC-Earth3,g01,FI,1995,4867.02,3385.09,24
EC-Earth3,g01,FI,1996,5267.27,4083.68,11.71
EC-Earth3,g01,FI,1997,4958.18,3562.28,49.61
EC-Earth3,g01,FI,1998,5106.87,3780.27,3.89
EC-Earth3,g01,FI,1999,4852.12,3867.95,41.83
EC-Earth3,g01,FI,2000,4432.56,3457.05,8.56
EC-Earth3,g01,FI,2001,4954.18,3404.99,24.52
EC-Earth3,g01,FI,2002,4954.1,3591.61,37.65
EC-Earth3,g01,FI,2003,4984.31,4251.24,46.93
EC-Earth3,g01,FI,2004,4829.71,3656.79,9.98
EC-Earth3,g01,FI,2005,4664.24,3616.5,24.7
EC-Earth3,g01,FI,2006,4697.77,3777.74,45.46
EC-Earth3,g01,FI,2007,4581.38,3366.9,24.35
EC-Earth3,g01,FI,2008,4407.66,3206.54,8.46
EC-Earth3,g01,FI,2009,4861.81,3416.2,15.43
EC-Earth3,g01,FI,2010,5428.92,4115.69,69.68
EC-Earth3,g01,FI,2011,4510.29,4171.42,51.94
EC-Earth3,g01,FI,2012,5002.65,3399.56,7.55
EC-Earth3,g01,FI,2013,4547.19,3817.42,26.72
EC-Earth3,g01,FI,2014,4478.92,3228.33,62.62
EC-Earth3,g01,FI,2015,4220.63,3228.06,8.23
