NUTS_ID,nuts_level,crop,year,area_ha,production_t,yield_t_ha,area_source,area_ha_alt
FRL02,3,Total barley,1995,5525,22113.5,4,CropStatHarm,6581.39
FRL02,3,Total barley,1996,5000,21350,4.27,CropStatHarm,6213.09
FRL02,3,Total barley,1997,4975,18746,3.77,CropStatHarm,6178.4
FRL02,3,Total barley,1998,4920,20448,4.16,CropStatHarm,6076.42
FRL02,3,Total barley,1999,4300,17240,4.01,CropStatHarm,5053.35
FRL02,3,Total barley,2000,4780,18152,3.8,CropStatHarm,5803.9
FRL02,3,Total barley,2001,4387,17413.9,3.97,CropStatHarm,5573.65
FRL02,3,Total barley,2002,4374,17886.6,4.09,CropStatHarm,4888.08
FRL02,3,Total barley,2003,4021,13507.8,3.36,CropStatHarm,5180.54
FRL02,3,Total barley,2004,4058,13650.9,3.36,CropStatHarm,4637.43
FRL02,3,Total barley,2005,3740,10156,2.72,CropStatHarm,4326.48
FRL02,3,Total barley,2006,3775,11435.5,3.03,CropStatHarm,3384.62
FRL02,3,Total barley,2007,3386,12115.7,3.58,CropStatHarm,4590.97
FRL02,3,Total barley,2008,3721,13256.9,3.56,CropStatHarm,4710.57
FRL02,3,Total barley,2009,3939,18513.3,4.7,CropStatHarm,4148.35
FRL02,3,Total barley,2010,3609,16962.3,4.7,CropStatHarm,4573.65
FRL02,3,Total barley,2011,3652,16434,4.5,CropStatHarm,4584.58
FRL02,3,Total barley,2012,3460,15916,4.6,CropStatHarm,3147.23
FRL02,3,Total barley,2013,3417,13147.8,3.85,CropStatHarm,3493
FRL02,3,Total barley,2014,3435,14550,4.24,CropStatHarm,3680.43
FRL02,3,Total barley,2015,3204,14418,4.5,CropStatHarm,3254.48
