model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
IPSL-CM6A-LR,-4.5,-4.3892,12,DE,DEU,cdd_jja,0.0321387468773359,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,DE,DEU,cdd_jja,0.038961492981423,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,DE,DEU,cdd_jja,0.0226890862868943,Electricity
EC-Earth3,-4.5,-4.5546,8,DK,DNK,cdd_jja,0.0161532909433459,Electricity
EC-Earth3,-3.5,-3.4737,8,DK,DNK,cdd_jja,0.0219881308722998,Electricity
EC-Earth3,-2.5,-2.5448,11,DK,DNK,cdd_jja,0.0116981175985782,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,DK,DNK,cdd_jja,0.0212813308913711,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,DK,DNK,cdd_jja,0.0153081840978986,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,DK,DNK,cdd_jja,0.0206091621467804,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,DK,DNK,cdd_jja,0.00808194483592368,Electricity
EC-Earth3,-4.5,-4.5546,8,EE,EST,cdd_jja,0.0180364625556,Electricity
EC-Earth3,-3.5,-3.4737,8,EE,EST,cdd_jja,0.0216927621915933,Electricity
EC-Earth3,-2.5,-2.5448,11,EE,EST,cdd_jja,0.0108711114623,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,EE,EST,cdd_jja,0.0339673546650826,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,EE,EST,cdd_jja,0.0255460760524465,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,EE,EST,cdd_jja,0.0263228363647179,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,EE,EST,cdd_jja,0.014683818671981,Electricity
EC-Earth3,-4.5,-4.5546,8,EL,GRC,cdd_jja,0.0829636627290261,Electricity
