branch,model,bin_id,component,n,mean,sd,lo,hi,central
crop,IPSL-CM6A-LR,-5.5,frost_mj,13,-0.0346338556705099,0.0174774644311291,-0.0588404333904499,-0.00125926798035727,-0.0342652405314589
crop,IPSL-CM6A-LR,-5.5,gdd_mj,13,0.0828825889057447,0.0247736117394348,0.0497474020306825,0.140703174234535,0.0859285884452549
crop,IPSL-CM6A-LR,-5.5,heat_mj,13,0.00560494493420547,0.00413353916401634,-2.13767315607588e-06,0.0136561325477885,0.00808780937277025
crop,IPSL-CM6A-LR,-5.5,precip_mj,13,-0.0374315297802088,0.0278273015726115,-0.0835012421937072,0.0156661160453869,-0.0376329206470629
crop,IPSL-CM6A-LR,-5.5,precip_mj2,13,0.0239062470938388,0.023647503438985,-0.0272004755197509,0.058739794524703,0.0300731197701724
crop,IPSL-CM6A-LR,-4.5,frost_mj,11,-0.0331612841174249,0.0184384100527108,-0.063485292860037,-0.0132615559256401,-0.0318744051216611
crop,IPSL-CM6A-LR,-4.5,gdd_mj,11,0.0589675423523767,0.0402593443041117,-0.00690663433875735,0.142314243342599,0.0620281589888157
crop,IPSL-CM6A-LR,-4.5,heat_mj,11,3.00317090095532e-07,0.00496076704374701,-0.00878002922830462,0.00617800139847715,0.002325408724447
crop,IPSL-CM6A-LR,-4.5,precip_mj,11,-0.0219613151684611,0.0225677298285447,-0.0799246082597486,-0.00103076032577342,-0.0221107076479519
crop,IPSL-CM6A-LR,-4.5,precip_mj2,11,0.0119589474306257,0.0200344697591489,-0.0125726585713868,0.0567157061178105,0.0184291869110266
crop,IPSL-CM6A-LR,-3.5,frost_mj,8,-0.0260430867701461,0.0176253054436969,-0.0444715580183389,0.00223687712433261,-0.0250722871731702
crop,IPSL-CM6A-LR,-3.5,gdd_mj,8,0.060193685073152,0.0375957568109121,0.00198711316600763,0.103465029932039,0.0621874222225396
crop,IPSL-CM6A-LR,-3.5,heat_mj,8,0.00161792375419142,0.00470124172932414,-0.00454271990485237,0.00972660092012147,0.00371762402381238
crop,IPSL-CM6A-LR,-3.5,precip_mj,8,-0.0220881541696836,0.023156435912305,-0.0691596400134013,0.00571422828825968,-0.0222532798320608
crop,IPSL-CM6A-LR,-3.5,precip_mj2,8,0.0110084124679089,0.020028798854268,-0.0125358939178506,0.0502070919956783,0.0161813501842527
crop,IPSL-CM6A-LR,-2.5,frost_mj,9,-0.0107332406740993,0.0141807598548009,-0.026604684785829,0.0188273762232783,-0.00904749983742773
