model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
EC-Earth3,-1.5,-1.5166,7,BG,BGR,cdd_jja,0.0209812516646639,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,BG,BGR,cdd_jja,0.0198209743988407,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,BG,BGR,cdd_jja,0.0191898048509223,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,BG,BGR,cdd_jja,0.0235461003458433,Electricity
EC-Earth3,-3.5,-3.2771,5,CY,CYP,cdd_jja,0.0198924176798504,Electricity
EC-Earth3,-2.5,-2.5562,17,CY,CYP,cdd_jja,0.0202949512820714,Electricity
EC-Earth3,-1.5,-1.5166,7,CY,CYP,cdd_jja,0.0188125250092047,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,CY,CYP,cdd_jja,0.0191469737752498,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,CY,CYP,cdd_jja,0.0183348407518069,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,CY,CYP,cdd_jja,0.0221895503299936,Electricity
EC-Earth3,-3.5,-3.2771,5,CZ,CZE,cdd_jja,0.0049296736219984,Electricity
EC-Earth3,-2.5,-2.5562,17,CZ,CZE,cdd_jja,0.0128859166655718,Electricity
EC-Earth3,-1.5,-1.5166,7,CZ,CZE,cdd_jja,0.011733446693583,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,CZ,CZE,cdd_jja,0.0146251113116398,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,CZ,CZE,cdd_jja,0.0120937162302982,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,CZ,CZE,cdd_jja,0.0124061388321737,Electricity
EC-Earth3,-3.5,-3.2771,5,DE,DEU,cdd_jja,0.00684071596475622,Electricity
EC-Earth3,-2.5,-2.5562,17,DE,DEU,cdd_jja,0.0135664160979969,Electricity
EC-Earth3,-1.5,-1.5166,7,DE,DEU,cdd_jja,0.00889176620253293,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,DE,DEU,cdd_jja,0.0123128002354945,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,DE,DEU,cdd_jja,0.00916781292140351,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,DE,DEU,cdd_jja,0.0083000692854531,Electricity
EC-Earth3,-3.5,-3.2771,5,DK,DNK,cdd_jja,0.003118076139254,Electricity
EC-Earth3,-2.5,-2.5562,17,DK,DNK,cdd_jja,0.00540591854589599,Electricity
EC-Earth3,-1.5,-1.5166,7,DK,DNK,cdd_jja,0.00430112104408027,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,DK,DNK,cdd_jja,0.00448208451960468,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,DK,DNK,cdd_jja,0.00342138296229492,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,DK,DNK,cdd_jja,0.0015726245055455,Electricity
EC-Earth3,-3.5,-3.2771,5,EE,EST,cdd_jja,0.00582978045361984,Electricity
