model,bin_id,delta_sv,n_years,component,dln,spec,branch
HadGEM3-GC3-1LL,-8.5,-8.3848,12,heat_mj,0.0107860704682603,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-7.5,-7.5599,19,heat_mj,0.0121751143197726,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-6.5,-6.5442,24,heat_mj,0.0199314374146137,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-5.5,-5.5797,10,heat_mj,0.0109000962774021,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-4.5,-4.5263,6,heat_mj,0.0138554931982887,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-3.5,-3.7835,7,heat_mj,0.0160346086501257,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-2.5,-2.4504,6,heat_mj,0.0102381003722776,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-1.5,-1.3098,8,heat_mj,0.00291494216595075,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1LL,-0.5,-0.331,6,heat_mj,-0.00072666273139783,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-14.5,-14.3032,4,heat_mj,0.0307803350458088,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-13.5,-13.3931,8,heat_mj,0.0368556212232722,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-12.5,-12.588,13,heat_mj,0.0326333557485672,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-11.5,-11.5321,21,heat_mj,0.028054863598535,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-10.5,-10.4803,10,heat_mj,0.0280477794725244,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-9.5,-9.6161,7,heat_mj,0.0142679904068913,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-8.5,-8.6582,7,heat_mj,0.016662637575164,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-7.5,-7.6345,8,heat_mj,0.0179403412863695,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-6.5,-6.4299,4,heat_mj,0.011887260590314,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-5.5,-5.3528,4,heat_mj,0.00599360118704247,drop_gdd,NAHosMIP (A)
HadGEM3-GC3-1MM,-4.5,-4.3969,4,heat_mj,0.00739612476639714,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-9.5,-9.3401,5,heat_mj,0.0290256991004808,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-8.5,-8.4598,8,heat_mj,0.0307962236592089,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-7.5,-7.5255,19,heat_mj,0.0230660300624735,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-6.5,-6.5577,11,heat_mj,0.0221794297964619,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-5.5,-5.5623,13,heat_mj,0.0226696494014424,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-4.5,-4.3507,11,heat_mj,0.00494499863542029,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-3.5,-3.4644,8,heat_mj,0.00900289650902676,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-2.5,-2.5669,9,heat_mj,0.0130658156145028,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-1.5,-1.2909,6,heat_mj,0.0105802681324971,drop_gdd,NAHosMIP (A)
IPSL-CM6A-LR,-0.5,-0.6347,8,heat_mj,-0.00152882829007447,drop_gdd,NAHosMIP (A)
