model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-3.5,-3.4737,8,LT,Spring barley,gdd,-6.76443750322734e-05
EC-Earth3,-2.5,-2.5448,11,LT,Spring barley,gdd,-0.000138181484919648
IPSL-CM6A-LR,-5.5,-5.3985,4,LT,Spring barley,gdd,-0.000527154654095447
IPSL-CM6A-LR,-4.5,-4.3046,12,LT,Spring barley,gdd,-0.00023255147878577
IPSL-CM6A-LR,-3.5,-3.5013,7,LT,Spring barley,gdd,-0.000537490762137266
IPSL-CM6A-LR,-2.5,-2.2964,6,LT,Spring barley,gdd,-0.000156203839821233
EC-Earth3,-4.5,-4.5546,8,LV,Spring barley,gdd,0.000229111698738587
EC-Earth3,-3.5,-3.4737,8,LV,Spring barley,gdd,-0.00020097413950614
EC-Earth3,-2.5,-2.5448,11,LV,Spring barley,gdd,-8.38137814275014e-05
IPSL-CM6A-LR,-5.5,-5.3985,4,LV,Spring barley,gdd,-0.000493023613513853
IPSL-CM6A-LR,-4.5,-4.3046,12,LV,Spring barley,gdd,-0.000162541854248048
IPSL-CM6A-LR,-3.5,-3.5013,7,LV,Spring barley,gdd,-0.000314218088091868
IPSL-CM6A-LR,-2.5,-2.2964,6,LV,Spring barley,gdd,-6.73925173538352e-05
EC-Earth3,-4.5,-4.5546,8,SE,Spring barley,gdd,-0.000121134354791214
EC-Earth3,-3.5,-3.4737,8,SE,Spring barley,gdd,-5.58631362675825e-05
EC-Earth3,-2.5,-2.5448,11,SE,Spring barley,gdd,-0.000402266184081728
IPSL-CM6A-LR,-5.5,-5.3985,4,SE,Spring barley,gdd,-0.000142676334592269
IPSL-CM6A-LR,-4.5,-4.3046,12,SE,Spring barley,gdd,-0.000427064051807048
IPSL-CM6A-LR,-3.5,-3.5013,7,SE,Spring barley,gdd,-0.000437081826180085
IPSL-CM6A-LR,-2.5,-2.2964,6,SE,Spring barley,gdd,-0.000246043768644158
EC-Earth3,-4.5,-4.5546,8,SK,Spring barley,gdd,-0.00086930708068462
EC-Earth3,-3.5,-3.4737,8,SK,Spring barley,gdd,-0.00103578390011351
EC-Earth3,-2.5,-2.5448,11,SK,Spring barley,gdd,-0.00132138663681597
IPSL-CM6A-LR,-5.5,-5.3985,4,SK,Spring barley,gdd,-0.000693955223097358
IPSL-CM6A-LR,-4.5,-4.3046,12,SK,Spring barley,gdd,-0.00113676388198147
IPSL-CM6A-LR,-3.5,-3.5013,7,SK,Spring barley,gdd,-0.000950328766688483
IPSL-CM6A-LR,-2.5,-2.2964,6,SK,Spring barley,gdd,-0.0008112257355215
EC-Earth3,-4.5,-4.5546,8,CZ,Winter barley,gdd,0.000102581302176686
EC-Earth3,-3.5,-3.4737,8,CZ,Winter barley,gdd,4.6607666216069e-05
EC-Earth3,-2.5,-2.5448,11,CZ,Winter barley,gdd,9.47049979432557e-05
IPSL-CM6A-LR,-5.5,-5.3985,4,CZ,Winter barley,gdd,-1.2588200110853e-06
IPSL-CM6A-LR,-4.5,-4.3046,12,CZ,Winter barley,gdd,0.000104560497327853
IPSL-CM6A-LR,-3.5,-3.5013,7,CZ,Winter barley,gdd,0.000142152307860482
IPSL-CM6A-LR,-2.5,-2.2964,6,CZ,Winter barley,gdd,7.39874981318178e-05
EC-Earth3,-4.5,-4.5546,8,DE,Winter barley,gdd,5.45955158619408e-05
EC-Earth3,-3.5,-3.4737,8,DE,Winter barley,gdd,3.16123831552663e-05
EC-Earth3,-2.5,-2.5448,11,DE,Winter barley,gdd,6.93807574475219e-05
IPSL-CM6A-LR,-5.5,-5.3985,4,DE,Winter barley,gdd,-4.27777917920494e-05
IPSL-CM6A-LR,-4.5,-4.3046,12,DE,Winter barley,gdd,5.18726459312308e-05
IPSL-CM6A-LR,-3.5,-3.5013,7,DE,Winter barley,gdd,9.91075658270486e-05
IPSL-CM6A-LR,-2.5,-2.2964,6,DE,Winter barley,gdd,4.30110415870841e-05
EC-Earth3,-4.5,-4.5546,8,DK,Winter barley,gdd,7.85472770936473e-05
EC-Earth3,-3.5,-3.4737,8,DK,Winter barley,gdd,2.64984339722745e-05
EC-Earth3,-2.5,-2.5448,11,DK,Winter barley,gdd,9.84389710167146e-06
IPSL-CM6A-LR,-5.5,-5.3985,4,DK,Winter barley,gdd,-1.25458236692529e-05
IPSL-CM6A-LR,-4.5,-4.3046,12,DK,Winter barley,gdd,2.72488812750256e-06
IPSL-CM6A-LR,-3.5,-3.5013,7,DK,Winter barley,gdd,7.95579328361316e-05
IPSL-CM6A-LR,-2.5,-2.2964,6,DK,Winter barley,gdd,2.27168882763947e-05
EC-Earth3,-4.5,-4.5546,8,EE,Winter barley,gdd,5.33277647097658e-05
EC-Earth3,-3.5,-3.4737,8,EE,Winter barley,gdd,7.23907694308135e-05
EC-Earth3,-2.5,-2.5448,11,EE,Winter barley,gdd,4.50849071731302e-05
IPSL-CM6A-LR,-5.5,-5.3985,4,EE,Winter barley,gdd,0.000145977260000689
IPSL-CM6A-LR,-4.5,-4.3046,12,EE,Winter barley,gdd,9.34683568967264e-05
IPSL-CM6A-LR,-3.5,-3.5013,7,EE,Winter barley,gdd,9.4835981825855e-05
IPSL-CM6A-LR,-2.5,-2.2964,6,EE,Winter barley,gdd,0.000109171665653388
EC-Earth3,-4.5,-4.5546,8,EL,Winter barley,gdd,2.88992976866737e-05
EC-Earth3,-3.5,-3.4737,8,EL,Winter barley,gdd,0.00010749615160676
EC-Earth3,-2.5,-2.5448,11,EL,Winter barley,gdd,8.23482920111532e-05
IPSL-CM6A-LR,-5.5,-5.3985,4,EL,Winter barley,gdd,4.09111657612766e-05
IPSL-CM6A-LR,-4.5,-4.3046,12,EL,Winter barley,gdd,7.6792121704722e-05
IPSL-CM6A-LR,-3.5,-3.5013,7,EL,Winter barley,gdd,7.54243178272854e-05
IPSL-CM6A-LR,-2.5,-2.2964,6,EL,Winter barley,gdd,6.14841836914561e-05
EC-Earth3,-4.5,-4.5546,8,ES,Winter barley,gdd,5.74528778400373e-05
EC-Earth3,-3.5,-3.4737,8,ES,Winter barley,gdd,1.23619732512076e-05
EC-Earth3,-2.5,-2.5448,11,ES,Winter barley,gdd,9.10585898316303e-05
IPSL-CM6A-LR,-5.5,-5.3985,4,ES,Winter barley,gdd,3.2882484797314e-05
IPSL-CM6A-LR,-4.5,-4.3046,12,ES,Winter barley,gdd,2.90996239915544e-05
IPSL-CM6A-LR,-3.5,-3.5013,7,ES,Winter barley,gdd,9.18774044519667e-05
IPSL-CM6A-LR,-2.5,-2.2964,6,ES,Winter barley,gdd,4.90855433502682e-06
EC-Earth3,-4.5,-4.5546,8,FR,Winter barley,gdd,7.963647122225e-05
EC-Earth3,-3.5,-3.4737,8,FR,Winter barley,gdd,4.06903877827533e-05
EC-Earth3,-2.5,-2.5448,11,FR,Winter barley,gdd,6.50824840523089e-05
